,id,title,tags
17,614930,Teenage Mutant Ninja Turtles: Mutant Mayhem,anim comedi action jeffrow after year of be shelter from the human world the turtl brother set out to win the heart of new yorker and be accept as normal teenag through heroic acts. their new friend april o'neil help them take on a mysteri crime syndic but they soon get in over their head when an armi of mutant is unleash upon them. paramount micahabbey shamonbrownjr. nicolascantu new york citi sibl relationship skateboard crime fighter turtl superhero ninja duringcreditssting teenag mutant ninja turtl aspir journalist anthropomorph anim teenag mutant ninja turtles: mutant mayhem
18,565770,Blue Beetle,action sciencefict angelmanuelsoto recent colleg grad jaim rey return home full of aspir for hi futur onli to find that home is not quit as he left it. as he search to find hi purpos in the world fate interven when jaim unexpectedli find himself in possess of an ancient relic of alien biotechnology: the scarab. warnerbros.pictur xolomariduena brunamarquezin adrianabarraza armor superhero famili high tech origin alien technolog latino dc univers (dcu) blue beetl
19,872585,Oppenheimer,drama histori christophernolan the stori of j. robert oppenheimer' role in the develop of the atom bomb dure world war ii. syncopi cillianmurphi emilyblunt mattdamon husband wife relationship base on novel or book polit atom bomb professor patriot new mexico world war ii hallucin atom bomb test surreal physic biographi berkeley base on true stori physicist jewish american interrog guilt nonlinear timelin histor event nuclear weapon commun red scare prometheu mccarthyism top secret project moral dilemma usa polit 1940 ethic quantum physic antisemit apocalypt vision clinic new mexico desert male protagonist 20th centuri manhattan project affair lo alamo hiroshima and nagasaki bomb cliché defiant demean oppenheim
20,840326,Sisu,action war jalmariheland deep in the wilder of lapland aatami korpi is search for gold but after he stumbl upon nazi patrol a breathtak and gold-hungri chase through the destroy and mine lapland wilder begins. subzerofilmentertain jormatommila akselhenni jackdoolan world war ii nordic mytholog lapland finnish mytholog sisu
21,603692,John Wick: Chapter 4,action thriller crime chadstahelski with the price on hi head ever increas john wick uncov a path to defeat the high table. but befor he can earn hi freedom wick must face off against a new enemi with power allianc across the globe and forc that turn old friend into foes. thunderroad keanureev donnieyen billskarsgård new york citi martial art hitman sequel organ crime osaka japan aftercreditssting hunt profession assassin neo noir berlin john wick: chapter 4
22,502356,The Super Mario Bros. Movie,anim famili adventur fantasi comedi aaronhorvath while work underground to fix a water main brooklyn plumbers—and brothers—mario and luigi are transport down a mysteri pipe and wander into a magic new world. but when the brother are separ mario embark on an epic quest to find luigi. universalpictur chrispratt anyataylor joy video game gorilla plumber magic mushroom anthropomorph base on video game toad aftercreditssting duringcreditssting damsel in distress piano brother brother relationship evil king the super mario bros. movi
23,713704,Evil Dead Rise,thriller horror leecronin a reunion between two estrang sister get cut short by the rise of flesh-possess demon thrust them into a primal battl for surviv as they face the most nightmarish version of famili imaginable. newlinecinema lilysullivan alyssasutherland morgandavi sibl relationship earthquak pregnanc sequel gore lo angel california demon evil necronomicon reboot demon possess motherhood sisterhood sister sister relationship bodi horror apart evil dead rise
24,852096,We Have a Ghost,fantasi famili comedi adventur christopherlandon after kevin find a ghost name ernest haunt hi new home he becom an overnight social media sensation. but when kevin and ernest go rogu to investig the mysteri of the latter' past they becom target of the cia. templehillentertain davidharbour jahidi'allowinston anthonymacki cia haunt hous ghost social media we have a ghost
25,736526,Troll,fantasi action adventur thriller roaruthaug deep insid the mountain of dovr someth gigant awaken after be trap for a thousand years. destroy everyth in it path the creatur is fast approach the capit of norway. but how do you stop someth you thought onli exist in norwegian folklore? motionblur inemariewilmann kims.falck jørgensen mountain mythic creatur creatur norwegian folklor troll
26,676547,Prey for the Devil,horror thriller danielstamm in respons to a global rise in demon possess the cathol church reopen exorc school to train priest in the rite of exorcism. on thi spiritu battlefield an unlik warrior rises: a young nun sister ann. thrust onto the spiritu frontlin with fellow student father dant sister ann find herself in a battl for the soul of a young girl and soon realiz the devil ha her right where he want her. lionsgat jacquelineby colinsalmon christiannavarro nun exorc cathol church demon possess prey for the devil
